,lambda,Dint
0,2.4011607361169043,-6955823209.140625
1,2.3426856040570887,-452622764.296875
2,2.2869908356386177,4507175763.296875
3,2.2338827355107864,8115881133.296875
4,2.1831851918394185,10564749466.28125
5,2.1347377253115254,12037943834.28125
6,2.088393792269908,12708440485.71875
7,2.044019304179185,12735453877.5
8,2.001491331916221,12263018761.4375
9,1.960696968515341,11419431529.5
10,1.9215323282125558,10317311199.40625
11,1.8839016631041372,9054091331.875
12,1.8477165816059946,7712797342.3125
13,1.8128953552844038,6362999084.34375
14,1.779362302615882,5061857025.125
15,1.7470472398964172,3855203050.90625
16,1.7158849909158043,2778614231.0
17,1.685814948188284,1858451236.25
18,1.656780679523911,1112843178.34375
19,1.6287295745669832,552607897.875
20,1.6016125266435854,182102159.96875
21,1.575383645870565,0.0
22,1.55,0.0
23,1.5260601734536416,0.0
24,1.5028486025691628,162687859.71875
25,1.4803325546294404,474859123.40625
26,1.4584812295999476,920373553.03125
27,1.4372656195611562,1480557828.53125
28,1.4166583802335275,2134564505.0625
29,1.396633713398578,2859691007.0
30,1.3771672591529245,3631662393.6875
31,1.3582359970491213,4424881364.46875
32,1.3398181552797515,5212648751.3125
33,1.3218931271515113,5967357576.78125
34,1.3044413941755868,6660663372.5
35,1.2874444551708488,7263633370.9375
36,1.2708847608384908,7746876806.0
37,1.2547456533217276,8080658481.96875
38,1.239011310312977,8234997413.0625
39,1.2236666933142892,8179752316.84375
40,1.2086974996953768,7884695403.375
41,1.194090118227984,7319575899.375
42,1.179831587806017,6454174465.40625
43,1.1659095590882913,5258349646.25
44,1.1523122588253056,3702077279.0625
45,1.139028456653452,1755483777.25
46,1.1260474341598172,-611125984.0625
47,1.1133589560384822,-3427245483.8125
48,1.1009532431751834,-6722147461.125
49,1.0888209475115853,-10524868385.1875
50,1.076953128553385,-14864196016.375
51,1.0653412313981778,-19768659633.90625
52,1.0539770661696055,-25266522570.8125
53,1.042852788753887,-31385776735.8125
54,1.0319608827435136,-38154138828.8125
55,1.0212941425007651,-45599048000.0
56,1.0108456572608535,-53747664759.6875
57,1.000608796200991,-62626870920.6875
