,lambda,Dint
0,2.4022619949415254,17089719452.796875
1,2.343686198030946,22028675123.4375
2,2.2878989831187972,25350137601.421875
3,2.234705848500156,27275827982.5
4,2.183929969955394,28023635950.65625
5,2.135410237072603,27801526960.375
6,2.088999545639681,26803498269.4375
7,2.0445633079771315,25207124454.15625
8,2.0019781494359283,23172305178.5625
9,1.9611307644715181,20840897301.4375
10,1.9219169099582731,18336977042.125
11,1.8842405169116097,15767533056.25
12,1.8480129046816895,13223437886.0
13,1.8131520840875863,10780583352.75
14,1.7795821379649681,8501095952.59375
15,1.7472326692766795,6434572180.21875
16,1.716038308342538,4619292202.21875
17,1.6859382719295144,3083384125.21875
18,1.656875967944493,1845921578.6875
19,1.6287986403201558,917944700.15625
20,1.6016570494056699,303400213.75
21,1.5754051837886003,0.0
22,1.55,0.0
23,1.526040497105065,0.0
24,1.5028104383640823,275914400.375
25,1.4802770115019839,812501858.53125
26,1.4584093431455245,1591307710.21875
27,1.4371783576941943,2591107367.8125
28,1.4165566483412821,3788301987.53125
29,1.3965183590419816,5157270773.5625
30,1.3770390763596778,6670683885.21875
31,1.358095730239182,8299779814.9375
32,1.3396665028589543,10014610743.46875
33,1.3217307448051665,11784259115.875
34,1.3042688978904893,13577028437.28125
35,1.2872624240111123,15360610950.03125
36,1.2706937394979634,17102234692.4375
37,1.2545461544733931,18768792112.75
38,1.2388038167736592,20326952260.1875
39,1.2234516600411296,21743258342.3125
40,1.208475355628916,22984212264.28125
41,1.1938612679952074,24016347608.90625
42,1.1795964132954302,24806292352.09375
43,1.1656684209079287,25320822467.59375
44,1.15206549765353,25526907490.875
45,1.1387763944914808,25391748948.59375
46,1.1257903754940766,24882812513.125
47,1.1130971889201409,23967854608.78125
48,1.1006870402235513,22614944151.4375
49,1.0885505668474582,20792480007.5
50,1.0766788146678683,18469204714.75
51,1.065063215962043,15614214926.25
52,1.053695568787783,12196969013.875
53,1.0425680176693009,8187292193.625
54,1.0316730354941104,3555379518.4375
55,1.0210034065332525,-1728202965.3125
56,1.0105522105043745,-7692518645.375
57,1.000312807603692,-14366262104.5
