,lambda,Dint
0,2.9009059966337696,-667320918521.1562
1,2.873290217522003,-624027345867.7969
2,2.846195268586242,-582958875305.75
3,2.819606553282015,-544079424039.375
4,2.793510015451273,-507343603089.4844
5,2.7678921145443045,-472698118331.5156
6,2.742739802192627,-440083144032.0625
7,2.7180405000476933,-409433635788.90625
8,2.693782078806329,-380680556926.75
9,2.669952838349419,-353751999464.1719
10,2.6465414889255117,-328574187280.1094
11,2.6235371333157618,-305072354557.2031
12,2.600929249921016,-283171496469.7344
13,2.5787076767158963,-262796990914.29688
14,2.5568625960184557,-243875088397.9375
15,2.53538452002747,-226333259207.78125
16,2.5142642770825847,-210100364270.8125
17,2.493492998605524,-195106554036.70312
18,2.4730621066832996,-181282611795.65625
19,2.4529633022568897,-168557779694.17188
20,2.433188553881232,-156851878215.60938
21,2.413730087024532,-146032323009.84375
22,2.3945803738769578,-134907911630.375
23,2.3757321236406277,-84927681739.8125
24,2.3571782732746085,-47224729508.984375
25,2.338911978670217,-39332496295.984375
26,2.320926606233478,-32796005016.34375
27,2.303215724852989,-27043492237.578125
28,2.2857730982327475,-21977287911.6875
29,2.26859267757076,-17542095400.484375
30,2.2516685945653516,-13694298518.21875
31,2.2349951547322138,-10395565012.75
32,2.2185668310161817,-7610829703.453125
33,2.2023782576826982,-5307470422.390625
34,2.1864242244747816,-3454896427.453125
35,2.1706996710221245,-2024304913.59375
36,2.1551996814897296,-988515300.25
37,2.1399194794541847,-321843653.796875
38,2.124854422996371,-0.0625
39,2.1099999999999994,0.0
40,2.0954330723406756,0.0
41,2.08106589869114,-296888024.375
42,2.0668943982377455,-870382708.375
43,2.0529146005719987,-1701272051.0625
44,2.0391226419819257,-2771354253.625
45,2.025514761891925,-4063382634.0625
46,2.0120872994442327,-5561014177.71875
47,1.998836690215462,-7248761348.125
48,1.9857594630620297,-9111946906.71875
49,1.9728522370886137,-11136661465.84375
50,1.9601117187340749,-13309723603.4375
51,1.947534698969564,-15618642342.875
52,1.9351180506038146,-18051581826.96875
53,1.922858725690862,-20597328054.5625
54,1.9107537530356806,-23245257531.59375
55,1.8988002357934435,-25985307711.65625
56,1.8869953491583393,-28807949108.0
57,1.8753363381380674,-31704158985.15625
58,1.863820515410327,-34665396496.84375
59,1.8524452592578033,-37683579213.78125
60,1.8412080115783125,-40751060929.34375
61,1.8301062759669346,-43860610669.5
62,1.819137615867114,-47005392837.84375
63,1.8082996527878528,-50178948417.84375
64,1.797590064584255,-53375177171.65625
65,1.7870065837988127,-56588320769.625
66,1.7765469960609401,-59812946805.8125
67,1.766209138542394,-63043933630.03125
68,1.7559908984663033,-66276455964.09375
69,1.7458902116676605,-69505971243.0625
70,1.7359050612032096,-72728206646.8125
71,1.726033476008764,-75939146780.40625
72,1.7162735296020772,-79135021964.90625
73,1.7066233388294785,-82312297102.4375
74,1.697081062654551,-85467661089.84375
75,1.6876449009872236,-88598016741.5
76,1.6783130935517119,-91700471195.8125
77,1.6690839187918065,-94772326787.0625
78,1.6599556928120867,-97811072342.84375
79,1.6509267683536868,-100814374896.3125
80,1.6419955338033092,-103780071786.71875
81,1.6331604122342274,-106706163122.6875
82,1.62441986047809,-109590804600.84375
83,1.6157723682263652,-112432300648.46875
84,1.6072164571603378,-115229097881.34375
85,1.5987506801086018,-117979778862.5625
86,1.5903736202310381,-120683056136.28125
87,1.582083890228314,-123337766532.09375
88,1.5738801315759787,-125942865729.25
89,1.5657610137822615,-128497423052.34375
90,1.557725233668729,-131000616504.53125
91,1.5497715146729774,-133451728016.65625
92,1.541898606172577,-135850138903.84375
93,1.5341052828295252,-138195325521.375
94,1.5263903439544737,-140486855106.90625
95,1.5187526128900444,-142724381805.9375
96,1.5111909364125715,-144907642863.6875
97,1.5037041841516228,-147036454982.34375
