,lambda,Dint
0,2.400937607976141,-34288750167.203125
1,2.34248286413073,-24423565199.0
2,2.286806820540691,-16404858424.59375
3,2.233715944947535,-10025116963.9375
4,2.183034269616343,-5076692730.9375
5,2.1346014429020252,-1358437625.625
6,2.0882710345539888,1319735380.375
7,2.04390905702736,3133922500.125
8,2.001392671347923,4244552231.875
9,1.9606090512054097,4795646387.34375
10,1.9214543831556814,4914763686.9375
11,1.8838329842770283,4713423416.03125
12,1.8476565214917782,4287851645.5625
13,1.8128433191442879,3719930304.96875
14,1.7793177434102185,3078259616.34375
15,1.747009653771608,2419268782.90625
16,1.7158539131854944,1788328549.59375
17,1.6857899497473887,1220833830.03125
18,1.656761363642558,743235499.21875
19,1.62871557401867,374008472.53125
20,1.601603501128003,124549221.40625
21,1.5753792796967565,0.0
22,1.55,0.0
23,1.526064162376925,0.0
24,1.502856339592858,113243551.90625
25,1.48034381504375,331156522.25
26,1.4584958035491407,641858575.96875
27,1.437283310898178,1030595532.4375
28,1.4166790054765803,1480125720.125
29,1.3966571007793651,1971064330.5625
30,1.3771932477474138,2482189508.09375
31,1.3582644359827074,2990713838.3125
32,1.3398489029995835,3472524591.78125
33,1.3219260507595483,3902395871.21875
34,1.3044763688166245,4254175569.6875
35,1.2874813634703786,4500949793.6875
36,1.2709234923857842,4615187148.875
37,1.2547861041940185,4568865090.3125
38,1.2390533826370351,4333580318.125
39,1.2237102948620517,3880645019.84375
40,1.2087425435106371,3181170522.03125
41,1.1941365222814322,2206139851.375
42,1.1798792746761917,926470436.03125
43,1.1659584556662366,-686931844.125
44,1.152362296040935,-2663126265.3125
45,1.1390795692218134,-5031097590.53125
46,1.1260995603456185,-7819722303.4375
47,1.1134120374373877,-11057740032.90625
48,1.1010072245105291,-14773729503.4375
49,1.088875776445283,-18996088448.28125
50,1.0770087555098915,-23753016989.34375
51,1.0653976094005104,-29072504009.5625
52,1.0540341506864692,-34982316148.5625
53,1.04291053755706,-41509989059.5
54,1.0320192557747174,-48682820620.25
55,1.0213531017473008,-56527865826.3125
56,1.0109051666393531,-65071933150.4375
57,1.0006688214486874,-74341582125.1875
